"KF2130","<p>KF1010 Polymerteknik med cellulosateknologi&#160;eller KF1040 Polymerteknik f&#246;r CL-programmet, samt tre &#229;rs&#160;utbildning inom kemivetenskap, eller motsvarande kunskaper.</p>","<p>KF1010 Polymer technology with cellulose technology or KF1040&#160;Polymer technology for the CL programme&#160;and three years of studies in chemical science and engineering at bachelor level, or equivalent</p>"
"FAI3015",NULL,NULL
"ME2094",NULL,NULL
"FSF3809","",""
"FAF3215",NULL,NULL
"FAF3208",NULL,NULL
"FAH3451",NULL,NULL
"ME2073",NULL,NULL
"BB1000",NULL,NULL
"ME2089",NULL,NULL
"FSF3810",NULL,NULL
"HI170X",NULL,NULL
"FAF3207",NULL,NULL
"MG1206",NULL,NULL
"MG2020",NULL,NULL
"ML1306",NULL,NULL
"MG1204",NULL,NULL
"ME2096",NULL,NULL
"FAI3103",NULL,NULL
"AI1509","<p>Minst 7,5 hp civilr&#228;tt.</p>",NULL
"FAF3210",NULL,NULL
"ME2095",NULL,NULL
"FCK3505",NULL,NULL
"FCK3504","<p>Kursen KE2110 Till&#228;mpad elektrokemi</p>","<p>The course KE2110 Applied electrochemistry, or similar</p>"
"FAF3209",NULL,NULL
"ML1335",NULL,NULL
"HI1714",NULL,NULL
"AI2102",NULL,NULL
"MF2088",NULL,NULL
"FCK3501","<p>KE1175, KE1160 alternativt MF2015, MF2016 eller motsvarande.</p>","<p>KE1175, KE1160 alternatively MF2015, MF2016 or equivalent knowledge.</p>"
"FDD3021","<p>Ingen</p>","<p>None</p>"
"EI1220","<p>Kunskaper i integralkalkyl, jw-metoden, vektoralgebra (kartesiska-, cylindriska- och sf&#228;riska koordinatsystem, skal&#228;r- och kryssprodukt), vektoranalys (gradient, divergens, rotation, Gauss och Stokes vektorsatser) samt k&#228;nnedom om begreppen kraft, moment, tyngdpunkt, arbete, energi och effekt.</p>","<p>Thorough knowledge of 1st year course in mathematics.</p>"
"FAF3204",NULL,NULL
"SD241X",NULL,NULL
"AI250X",NULL,NULL
"MG1205",NULL,NULL
"MF2094",NULL,NULL
